reward,loss,epsilon,length
-22.90000000000001,25.392791175842284,0.9753038143277888,81
-26.11,17.598171280324458,0.937052231077248,80
-19.730000000000008,21.062168254221188,0.8606756897186528,170
-36.010000000000005,40.18293601870537,0.8269198412196082,80
-24.320000000000007,27.16766037940979,0.7633279507787228,160
-23.810000000000006,22.474099526140424,0.7297313864954562,90
-33.00000000000001,25.38101185736109,0.6865377739367521,122
-24.360000000000003,27.634758745034535,0.6612631499720295,75
-21.810000000000002,21.507887761947536,0.6224334652334746,121
-22.66000000000001,27.007245440550935,0.5503783656291613,246
-15.949999999999998,139.98064597376757,0.5060244418695731,168
-19.700000000000006,217.93243117690776,0.4640829649433082,173
-26.210000000000004,203.42020802497865,0.4370503190341745,120
-36.81,129.92348186969758,0.4199091303936546,80
-26.99,141.8557618187695,0.3948567147154674,123
-18.730000000000004,148.44583973646164,0.3572721953423169,200
-39.42,143.98453825862467,0.3366295485441309,119
-12.349999999999994,150.20188055503658,0.2742202995091898,410
-25.07,157.3797311653962,0.26425711326056794,74
-19.419999999999998,137.36106743561595,0.24030255738320352,190
-28.810000000000002,323.9362919270992,0.23087784977514708,80
-30.1,815.1546365275527,0.21612831372003213,132
-30.640000000000008,672.0567663372971,0.20282760788679727,127
-25.43,551.9624536177691,0.19604571918579744,68
-28.950000000000003,669.8134274321995,0.1793475665569085,178
-33.18999999999999,553.9242476951786,0.17214125372130376,82
-25.190000000000012,666.1410164399581,0.1611440808404587,132
-29.38000000000001,623.3361365775752,0.15152998053854339,123
-36.31999999999997,528.1686974048614,0.13987700350185184,160
-23.560000000000002,606.0282381239391,0.13272115663157733,105
-24.53,437.66084127548413,0.12764342156471808,78
-35.719999999999985,331.0252668797469,0.1202683778254542,119
-19.960000000000004,313.3074084320068,0.11297991925892198,125
-21.000000000000007,308.1689085815892,0.10576224379011294,132
-34.12999999999999,314.7006335475228,0.10120848407548916,88
-36.410000000000004,310.3064195156097,0.09675396706509369,90
-22.510000000000005,278.70006558895113,0.09389375075082444,60
-30.309999999999988,268.5242621779442,0.0902112217062455,80
-25.45,323.2106381976415,0.08470190336426077,126
-41.91999999999999,360.4944603352607,0.08142059044946617,79
-18.580000000000002,238.05396009746352,0.07690831054619608,114
-40.75999999999989,101.93730934399112,0.06763203791837455,257
-36.93999999999997,107.27170261811982,0.06091964317695019,209
-28.950000000000003,109.36658341190886,0.05245828505126143,299
-33.61,102.20803518295288,0.05040086209408581,80
-31.840000000000003,100.81445032405102,0.04729915353532999,127
-37.510000000000005,114.18427105532348,0.044299616459672106,131
-26.509999999999994,91.02232031573617,0.039863042256754425,211
-31.809999999999995,93.45972203943464,0.03810853914922462,90
-34.28999999999999,95.93968308442517,0.03531894040178684,152
-16.56000000000001,80.38577535234649,0.03332823282964087,116
-22.09,52.04316624528483,0.030888559238590275,152
-12.25,56.782321464031114,0.027697955590675696,218
-21.129999999999995,54.726494232145676,0.02609760963108501,119
-28.419999999999995,50.77551017072466,0.023850882473037863,180
-17.950000000000003,48.06803099882035,0.02192878616825542,168
-27.66000000000001,57.51516545050803,0.01928385225345105,257
-24.520000000000003,55.806435019470925,0.018079016286003304,129
-24.340000000000007,59.572257302471044,0.017222898653742495,97
-16.46,53.993914375305174,0.0165888442672522,75
